CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,PharmacyReferralServiceIdWhitelist,ReferralServiceIdWhitelist
E38000001,02N,"NHS Airedale, Wharfedale and Craven CCG",E54000005,West Yorkshire and Harrogate (Health and Care Partnership),3,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014904
E38000002,09C,NHS Ashford CCG,E54000032,Kent and Medway,5,Pathways,26/07/2018,,2000001154|2000012125
E38000004,07L,NHS Barking and Dagenham CCG,E54000029,East London Health and Care Partnership,8,Pathways,22/01/2018,,2000006999|2000007000|2000007895
E38000005,07M,NHS Barnet CCG,E54000028,North London Partners in Health and Care,11,Pathways,30/08/2018,,2000006554|2000007183|2000007184|2000007187|2000007893|2000007895|2000007896|2000007897|2000007898
E38000006,02P,NHS Barnsley CCG,E54000009,South Yorkshire and Bassetlaw,14,Pathways,26/02/2018,,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000014905
E38000007,99E,NHS Basildon and Brentwood CCG,E54000026,Mid and South Essex,17,Pathways,13/06/2018,,2000008049
E38000008,02Q,NHS Bassetlaw CCG,E54000009,South Yorkshire and Bassetlaw,20,Pathways,26/02/2018,,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000014906
E38000009,11E,NHS Bath and North East Somerset CCG,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",23,Pathways,22/10/2018,,2000008366|2000008365|2000008364
E38000010,06F,NHS Bedfordshire CCG,E54000024,"Bedfordshire, Luton and Milton Keynes",26,Pathways,16/07/2018,,2000008918|2000008907|2000008917|2000008914|2000009185|2000015712
E38000011,07N,NHS Bexley CCG,E54000030,Our Healthier South East London,29,Pathways,17/12/2017,,1456933388|2000007897|1403536392|1354112563|1442223256|1317643273
